team_name,conference,team_id,conference_id,division,player_id,player_name,year,position,IP,ER,HR_Allowed,TBF,BB,K,K_Rate,BB_Rate,K_Minus_BB,K_Div_BB,FIP_No_Constant,GO,FO
Air Force,Mountain West,721,5486,1,2477971,"Shim, Seungmin",Jr,P,42.666666666666664,35,3,212,26,36,0.16981132075471697,0.12264150943396226,0.047169811320754707,1.3846153846153846,1.4765625,56,27
Air Force,Mountain West,721,5486,1,2477955,"Gehring, Doyle",Jr,P,74,52,11,339,33,63,0.18584070796460178,0.09734513274336283,0.08849557522123895,1.9090909090909092,2.0135135135135136,64,83
Air Force,Mountain West,721,5486,1,2679411,"Rogers, Dylan",So,P,67.66666666666667,64,7,338,24,46,0.13609467455621302,0.07100591715976332,0.0650887573964497,1.9166666666666667,1.1822660098522166,93,52
Air Force,Mountain West,721,5486,1,2312354,"Stohr, Ryan",Sr,UT,23,33,8,123,10,15,0.12195121951219512,0.08130081300813008,0.04065040650406504,1.5,5.043478260869565,17,33
Air Force,Mountain West,721,5486,1,2805206,"Collier, Joey",Fr,P,10,15,4,59,11,8,0.13559322033898305,0.1864406779661017,-0.05084745762711865,0.7272727272727273,7.8,8,12
Air Force,Mountain West,721,5486,1,2805207,"Loveridge, Cooper",Fr,P,7,6,0,48,8,4,0.08333333333333333,0.16666666666666666,-0.08333333333333333,0.5,2.7142857142857144,5,12
Air Force,Mountain West,721,5486,1,2312345,"Shuger, Jason",Sr,P,6.333333333333333,11,1,44,12,7,0.1590909090909091,0.2727272727272727,-0.11363636363636362,0.5833333333333334,6,5,7
Air Force,Mountain West,721,5486,1,2477964,"Moats, Kyle",Jr,P,8.666666666666666,17,2,54,10,8,0.14814814814814814,0.18518518518518517,-0.037037037037037035,0.8,4.615384615384616,5,12
Air Force,Mountain West,721,5486,1,2477956,"Hebenstreit, Jimmy",Jr,P,1.6666666666666667,5,0,12,3,0,0,0.25,-0.25,0,7.199999999999999,2,3
Air Force,Mountain West,721,5486,1,2679398,"Crump, Jaxson",So,P,1,5,0,11,3,1,0.09090909090909091,0.2727272727272727,-0.1818181818181818,0.33333333333333337,7,2,0
Akron,MAC,5,875,1,2828065,"Gillies, Emmett",Fr,P,50.333333333333336,30,7,231,20,43,0.18614718614718614,0.08658008658008658,0.09956709956709957,2.15,1.6490066225165563,49,53
Akron,MAC,5,875,1,2496195,"Tortorella, Sammy",Jr,P,86,44,7,412,30,74,0.1796116504854369,0.07281553398058252,0.10679611650485438,2.466666666666667,1.3953488372093024,76,103
Akron,MAC,5,875,1,2828031,"Roth, Joe",Fr,P,73.33333333333333,42,11,338,27,42,0.1242603550295858,0.07988165680473373,0.04437869822485206,1.5555555555555554,2.4000000000000004,59,108
Akron,MAC,5,875,1,2496193,"Fett, Anthony",Jr,P,50.333333333333336,38,12,241,21,24,0.0995850622406639,0.08713692946058091,0.012448132780082985,1.1428571428571428,3.814569536423841,49,73
Akron,MAC,5,875,1,2496142,"Kahook, Yassir",Jr,P,31.666666666666668,15,3,136,15,9,0.0661764705882353,0.11029411764705882,-0.044117647058823525,0.6,2.6526315789473682,31,50
Akron,MAC,5,875,1,2308188,"Dietrich, Brett",Sr,P,50.666666666666664,45,3,260,29,44,0.16923076923076924,0.11153846153846154,0.057692307692307696,1.5172413793103448,1.6973684210526316,60,37
Akron,MAC,5,875,1,2328921,"Biglin, Brady",Jr,P,34.333333333333336,42,5,185,26,23,0.12432432432432433,0.14054054054054055,-0.016216216216216217,0.8846153846153846,3,44,29
Akron,MAC,5,875,1,2308162,"Droste, Greyson",Sr,1B,2,0,0,6,0,0,0,0,0,NA,0,1,4
Akron,MAC,5,875,1,2828063,"Pirkle, Aaron",Fr,P,19.333333333333332,25,2,114,22,6,0.05263157894736842,0.19298245614035087,-0.14035087719298245,0.2727272727272727,5.379310344827586,18,31
Akron,MAC,5,875,1,2496201,"Atkins, Spencer",Jr,P,34,43,6,174,17,25,0.14367816091954022,0.09770114942528736,0.04597701149425286,1.4705882352941175,3.0294117647058822,21,53
Akron,MAC,5,875,1,2673188,"Perkins, Sean",So,P,11.666666666666666,19,1,72,11,11,0.1527777777777778,0.1527777777777778,0,1,4.885714285714286,10,13
Akron,MAC,5,875,1,2673313,"Krausher, Jacob",So,P,7.666666666666667,14,1,54,10,9,0.16666666666666666,0.18518518518518517,-0.018518518518518517,0.9,4.826086956521739,7,7
Akron,MAC,5,875,1,2828035,"Fitzsimmons, Aiden",Fr,INF,3.6666666666666665,5,2,21,2,4,0.19047619047619047,0.09523809523809523,0.09523809523809523,2,8.181818181818182,4,3
Akron,MAC,5,875,1,2673266,"Herrick, Joey",So,P,0.3333333333333333,4,0,5,2,0,0,0.4,-0.4,0,18,0,1
Akron,MAC,5,875,1,2496161,"Miller, Jackson",Sr,P,0.6666666666666666,4,0,7,3,0,0,0.42857142857142855,-0.42857142857142855,0,13.5,0,2
Alabama,SEC,8,911,1,2813202,"Davis II, Alton",Fr,P,33.666666666666664,20,5,145,12,32,0.2206896551724138,0.08275862068965517,0.13793103448275862,2.6666666666666665,1.3663366336633664,26,35
Alabama,SEC,8,911,1,2473788,"Probst, Zane",Jr,P,17.666666666666668,8,3,82,13,22,0.2682926829268293,0.15853658536585366,0.10975609756097562,1.6923076923076923,2.773584905660377,11,15
Alabama,SEC,8,911,1,2120975,"McNairy, Jacob",Sr,P,80.66666666666667,39,10,351,22,86,0.245014245014245,0.06267806267806268,0.18233618233618232,3.9090909090909087,0.6322314049586777,79,63
Alabama,SEC,8,911,1,2488941,"Furtado, Hunter",Jr,P,36,19,2,153,17,38,0.24836601307189543,0.1111111111111111,0.13725490196078433,2.235294117647059,0.3611111111111111,30,32
Alabama,SEC,8,911,1,2660130,"Woods, Kade",Fr,P,29.333333333333332,18,8,123,15,38,0.3089430894308943,0.12195121951219512,0.1869918699186992,2.5333333333333337,2.6931818181818183,21,24
Alabama,SEC,8,911,1,2660089,"Myers, Braylon",So,P,27.666666666666668,17,9,119,9,22,0.18487394957983194,0.07563025210084033,0.10924369747899161,2.4444444444444446,4.048192771084337,17,43
Alabama,SEC,8,911,1,2660047,"Banks, Hagan",So,P,33.666666666666664,13,7,134,7,37,0.27611940298507465,0.05223880597014925,0.2238805970149254,5.2857142857142865,1.3960396039603962,23,40
Alabama,SEC,8,911,1,2813209,"Quick, Riley",Fr,P,22,9,1,111,21,26,0.23423423423423423,0.1891891891891892,0.04504504504504503,1.238095238095238,1.5,24,15
Alabama,SEC,8,911,1,2660087,"Holman, Luke",So,P,81,33,14,332,31,87,0.2620481927710843,0.09337349397590361,0.1686746987951807,2.806451612903226,1.5802469135802468,61,84
Alabama,SEC,8,911,1,2665717,"Moza, Aidan",So,P,23.333333333333332,8,2,96,9,23,0.23958333333333334,0.09375,0.14583333333333334,2.555555555555556,0.4285714285714286,16,26
Alabama,SEC,8,911,1,2660044,"Ball, Connor",So,P,13.333333333333334,8,3,61,4,12,0.19672131147540983,0.06557377049180328,0.13114754098360654,3,2.475,13,13
Alabama,SEC,8,911,1,2660115,"McMillan, Garrett",Sr,P,42.333333333333336,23,7,182,17,36,0.1978021978021978,0.09340659340659341,0.10439560439560439,2.1176470588235294,1.937007874015748,30,57
Alabama,SEC,8,911,1,2112159,"Hoopes, Hunter",Sr,P,12.333333333333334,5,1,50,7,11,0.22,0.14,0.07999999999999999,1.5714285714285714,1.2162162162162162,5,16
Alabama,SEC,8,911,1,2476418,"Hitt, Grayson",Jr,P,38.666666666666664,18,3,169,25,49,0.28994082840236685,0.14792899408284024,0.1420118343195266,1.9599999999999997,0.4913793103448276,34,28
Alabama,SEC,8,911,1,2660081,"Hess, Ben",So,P,36.333333333333336,13,7,146,8,49,0.3356164383561644,0.0547945205479452,0.2808219178082192,6.125000000000001,0.7155963302752293,28,29
Alabama,SEC,8,911,1,2813196,"Blatter, Brock",Fr,P,8,4,0,43,8,12,0.27906976744186046,0.18604651162790697,0.09302325581395349,1.5,1.125,5,7
Alabama,SEC,8,911,1,2660074,"Gainey, Brayden",Sr,P,9.666666666666666,3,0,44,5,8,0.18181818181818182,0.11363636363636363,0.06818181818181819,1.6,0.20689655172413796,14,5
Alabama,SEC,8,911,1,2665729,"Reynolds, Jackson",Sr,P,8,5,0,37,3,4,0.10810810810810811,0.08108108108108109,0.02702702702702703,1.3333333333333333,0.125,10,9
